ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
175,0,1,0,3,0,1,4,0,4,4,0
176,0,1,1,3,0,1,4,2,4,0,0
177,1,1,1,0,0,0,1,0,4,4,0
178,0,1,0,0,0,1,1,0,4,4,0
179,0,1,1,0,0,0,1,0,4,2,0
180,0,1,0,0,0,1,4,2,4,0,1
181,0,1,0,2,0,1,4,2,4,0,0
182,0,1,1,0,0,1,4,2,4,0,0
183,0,1,0,0,0,1,1,0,4,0,0
184,1,1,1,3,0,1,1,0,4,1,0
185,1,1,1,3,0,1,1,0,4,1,0
186,1,1,0,0,0,0,1,0,4,1,0
187,0,1,0,3,0,1,4,2,4,4,0
188,0,1,1,0,0,1,4,0,4,4,1
189,1,1,1,3,0,1,4,0,4,3,0
190,1,1,1,0,0,1,4,2,4,1,0
191,0,1,0,0,0,1,0,0,4,4,0
192,0,1,0,0,0,1,1,0,4,0,0
193,0,1,0,0,0,1,2,1,4,0,1
194,0,1,0,0,0,1,4,0,4,0,0
195,0,1,1,0,0,1,4,2,4,0,1
196,1,1,1,0,0,0,4,2,4,3,0
197,0,4,1,0,0,0,4,0,4,0,1
198,1,4,1,0,0,1,1,2,4,0,1
199,0,4,1,3,0,1,1,0,4,0,0
200,1,4,1,0,0,1,4,0,4,4,1
201,1,4,0,0,0,1,4,2,4,3,1
202,1,4,0,3,0,0,4,2,4,3,0
203,1,4,1,0,0,1,1,0,4,1,0
204,1,4,0,0,0,0,4,2,4,1,0
205,1,4,0,0,0,0,1,0,4,1,0
206,1,4,1,3,0,1,1,2,4,4,0
207,1,4,0,0,0,1,1,2,4,3,1
208,1,4,0,0,0,1,1,0,4,3,0
209,0,4,1,0,0,1,0,0,4,0,0
210,1,4,1,0,0,1,4,0,4,3,0
211,1,4,1,0,0,0,0,1,4,1,0
212,1,4,1,0,0,1,1,0,4,3,1
213,0,4,1,0,0,1,4,2,4,4,0
214,0,4,0,0,0,1,4,0,4,0,1
215,0,4,0,3,0,0,1,0,4,0,0
216,0,4,0,0,0,0,1,0,4,2,0
217,0,4,0,0,0,1,4,2,4,0,0
218,1,4,1,0,0,1,4,2,4,1,0
219,0,4,0,2,0,1,4,2,4,0,1
220,0,4,0,3,0,1,4,0,4,4,1
221,0,4,1,0,0,1,4,0,4,0,1
222,0,4,0,2,0,1,0,2,4,4,0
223,1,4,1,0,0,0,1,0,4,1,0
224,1,4,1,0,0,0,1,0,4,1,0
225,0,4,0,0,0,1,4,2,4,0,1
226,0,4,1,3,0,1,4,2,4,0,0
227,1,4,1,0,3,0,4,2,4,2,0
228,1,4,1,0,0,1,1,0,4,3,0
229,1,4,0,0,0,0,1,0,4,3,1
230,0,4,1,3,0,1,1,0,4,0,0
231,0,4,1,0,0,1,0,2,4,0,1
232,0,4,1,3,0,1,4,0,4,4,0
233,1,4,1,3,0,1,1,2,4,1,0
234,1,4,1,3,0,1,4,2,4,3,0
235,1,4,1,0,0,1,4,2,4,3,0
236,0,4,0,2,0,1,4,0,4,0,1
237,1,4,0,0,0,1,4,0,4,1,1
238,0,4,1,0,0,1,0,2,4,4,1
239,1,4,0,0,0,1,4,2,4,1,0
240,1,4,0,0,0,1,0,1,4,1,0
241,0,4,1,0,0,1,4,0,4,4,1
242,0,4,1,2,0,1,0,2,4,4,0
243,0,4,1,0,0,0,1,0,4,4,0
244,0,4,1,0,0,0,1,0,4,2,0
245,0,4,1,0,0,0,1,0,4,0,0
246,0,4,1,0,0,1,4,0,4,0,1
247,1,4,1,0,0,1,4,2,4,1,1
248,0,4,1,0,0,0,2,1,4,4,0
249,0,4,1,0,0,1,4,0,4,0,0
250,0,4,1,3,0,1,4,2,4,0,0
251,0,4,0,3,0,1,4,2,4,0,0
252,0,4,0,0,0,0,1,0,4,4,1
253,1,4,0,0,0,0,4,2,4,3,1
254,1,4,1,0,0,0,1,0,4,1,0
255,0,4,0,0,0,1,1,0,4,4,1
256,1,4,1,3,0,0,4,2,4,4,0
257,1,2,0,0,0,1,1,0,4,3,0
258,0,2,0,0,0,0,4,0,4,0,1
259,0,2,1,0,0,0,1,0,4,0,0
260,0,2,1,3,0,1,4,0,4,0,0
261,0,2,0,0,0,0,1,0,4,2,0
262,1,2,1,0,0,1,1,2,4,3,1
263,0,2,0,0,0,1,0,2,4,0,0
264,1,2,1,1,0,1,4,2,4,1,1
265,1,2,0,3,0,1,1,0,4,2,1
266,0,2,0,0,0,1,0,2,4,0,1
267,1,2,1,0,0,1,4,2,4,4,1
268,1,2,1,3,0,1,1,0,4,3,0
269,0,2,1,0,0,1,4,2,4,4,0
